4	200601
14	200602
153	200603
197	200604
149	200605
113	200606
59	200607
19	200608
29	200609
25	200610
16	200611
20	200612
8	200701
8	200702
31	200703
84	200704
142	200705
623	200706
334	200707
95	200708
83	200709
108	200710
144	200711
129	200712
156	200801
34	200802
119	200803
543	200804
17442	200805
12674	200806
6442	200807
1314	200808
980	200809
938	200810
746	200811
420	200812
358	200901
352	200902
2194	200903
7096	200904
5438	200905
9530	200906
8682	200907
5175	200908
8623	200909
11173	200910
9608	200911
7380	200912
4909	201001
2680	201002
6546	201003
18490	201004
25787	201005
23534	201006
19412	201007
7165	201008
6067	201009
3870	201010
3352	201011
3442	201012
