200601	53
200602	32
200603	46
200604	39
200605	38
200606	43
200607	48
200608	45
200609	61
200610	64
200611	53
200612	42
200701	95
200702	72
200703	96
200704	50
200705	57
200706	95
200707	113
200708	127
200709	106
200710	70
200711	120
200712	71
200801	92
200802	118
200803	104
200804	85
200805	103
200806	67
200807	84
200808	59
200809	66
200810	66
200811	61
200812	37
200901	49
200902	49
200903	47
200904	72
200905	66
200906	54
200907	54
200908	52
200909	48
200910	48
200911	42
200912	26
201001	42
201002	36
201003	40
201004	61
201005	45
201006	70
201007	67
201008	61
201009	41
201010	61
201011	41
201012	50
