200601	3336
200602	3720
200603	4637
200604	4383
200605	4324
200606	4199
200607	4330
200608	4613
200609	4332
200610	4633
200611	4382
200612	3549
200701	3999
200702	3213
200703	4189
200704	3942
200705	3849
200706	3833
200707	3825
200708	4220
200709	3599
200710	3558
200711	3470
200712	3265
200801	3284
200802	2968
200803	3788
200804	3922
200805	3600
200806	3403
200807	3641
200808	3578
200809	3446
200810	3473
200811	3001
200812	3207
200901	2734
200902	3475
200903	3519
200904	3672
200905	3353
200906	3509
200907	3716
200908	3692
200909	3397
200910	3001
200911	2791
200912	2801
201001	2554
201002	2420
201003	3420
201004	3160
201005	3312
201006	3582
201007	3495
201008	3640
201009	3452
201010	3293
201011	3752
201012	3349
