1660	200601
1929	200602
2750	200603
2670	200604
2555	200605
2514	200606
2564	200607
2652	200608
2392	200609
2276	200610
2282	200611
2056	200612
2328	200701
1928	200702
2489	200703
2736	200704
2780	200705
2591	200706
2436	200707
2529	200708
2419	200709
2122	200710
2075	200711
1925	200712
1911	200801
1714	200802
2583	200803
2686	200804
2602	200805
2275	200806
2303	200807
2263	200808
2351	200809
2198	200810
1734	200811
1868	200812
1447	200901
1845	200902
2232	200903
2464	200904
2251	200905
2216	200906
2146	200907
2003	200908
2096	200909
1847	200910
1610	200911
1555	200912
1556	201001
1250	201002
1995	201003
2319	201004
2082	201005
2046	201006
2029	201007
2025	201008
1899	201009
1698	201010
1749	201011
1630	201012
